iter	RMSE
0	14.69696265
1	14.23572793
2	13.76608054
3	13.38860483
4	12.9925356
5	12.59926473
6	12.27259952
7	11.93986051
8	11.62264156
9	11.27661486
10	10.97832806
11	10.68003067
12	10.39637365
13	10.12056767
14	9.85755201
15	9.617799079
16	9.392329402
17	9.159888746
18	8.971052418
19	8.770849698
20	8.576222912
21	8.406341052
22	8.262468522
23	8.097534506
24	7.946487872
25	7.807496306
26	7.677404404
27	7.55110415
28	7.425496854
29	7.317596611
30	7.225345061
31	7.127318277
32	7.035285638
33	6.94665427
34	6.871533638
35	6.78374212
36	6.706402216
37	6.625971515
38	6.556257543
39	6.481609708
40	6.419490622
41	6.357710035
42	6.306039845
43	6.255336853
44	6.203347755
45	6.148770892
46	6.099456309
47	6.045071342
48	6.004530921
49	5.969142512
50	5.928279963
51	5.888807061
52	5.858775037
53	5.824481964
54	5.795892572
55	5.766763514
56	5.733023088
57	5.701205988
58	5.674545743
59	5.650687518
60	5.626470686
61	5.607211899
62	5.583901044
63	5.56971967
64	5.548180779
65	5.524950958
66	5.506354116
67	5.489174287
68	5.469457828
69	5.449005288
70	5.431083097
71	5.416124309
72	5.401717961
73	5.388650785
74	5.375139063
75	5.361339632
76	5.350591332
77	5.338169766
78	5.32454658
79	5.314620527
80	5.305798291
81	5.292244676
82	5.281091451
83	5.262647063
84	5.257144206
85	5.250416656
86	5.241119215
87	5.228125785
88	5.218227519
89	5.206494831
90	5.192429672
91	5.183918305
92	5.176722536
93	5.169202997
94	5.159850047
95	5.146177044
96	5.13662927
97	5.132427202
98	5.127815622
99	5.114078062
